id,name,genres,type,episodes,status,aired_from,aired_to,duration_per_ep,score,scored_by,rank,rating,studios,producers,image,trailer,synopsis
51009,Jujutsu Kaisen Season 2,"Action, Supernatural",TV,23.0,Finished Airing,2023-07-06T00:00:00+00:00,2023-12-28T00:00:00+00:00,23 min per ep,8.75,685418.0,43.0,R - 17+ (violence & profanity),MAPPA,"Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap",https://cdn.myanimelist.net/images/anime/1792/138022l.jpg,https://www.youtube.com/watch?v=PKHQuQF1S8k,"The year is 2006, and the halls of Tokyo Prefectural Jujutsu High School echo with the endless bickering and intense debate between two inseparable best friends. Exuding unshakeable confidence, Satoru Gojou and Suguru Getou believe there is no challenge too great for young and powerful Special Grade sorcerers such as themselves. They are tasked with safely delivering a sensible girl named Riko Amanai to the entity whose existence is the very essence of the jujutsu world. However, the mission plunges them into an exhausting swirl of moral conflict that threatens to destroy the already feeble amity between sorcerers and ordinary humans.

Twelve years later, students and sorcerers are the frontline defense against the rising number of high-level curses born from humans' negative emotions. As the entities grow in power, their self-awareness and ambition increase too. The curses unite for the common goal of eradicating humans and creating a world of only cursed energy users, led by a dangerous, ancient cursed spirit. To dispose of their greatest obstacle—the strongest sorcerer, Gojou—they orchestrate an attack at Shibuya Station on Halloween. Dividing into teams, the sorcerers enter the fight prepared to risk everything to protect the innocent and their own kind."
1,Cowboy Bebop,"Action, Award Winning, Sci-Fi",TV,26.0,Finished Airing,1998-04-03T00:00:00+00:00,1999-04-24T00:00:00+00:00,24 min per ep,8.75,1020219.0,46.0,R - 17+ (violence & profanity),Sunrise,"Bandai Visual, Victor Entertainment, Audio Planning U",https://cdn.myanimelist.net/images/anime/4/19644l.jpg,https://www.youtube.com/watch?v=gY5nDXOtv_o,"Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters.

Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh corgi.

While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds."
55690,The Dangers in My Heart Season 2,"Comedy, Romance",TV,13.0,Finished Airing,2024-01-07T00:00:00+00:00,2024-03-31T00:00:00+00:00,23 min per ep,8.74,148956.0,47.0,PG-13 - Teens 13 or older,Shin-Ei Animation,"Dentsu, TV Asahi, Movic, Magic Capsule, Avex Pictures, Akita Shoten, BS Asahi, TV Asahi Music",https://cdn.myanimelist.net/images/anime/1643/138581l.jpg,https://www.youtube.com/watch?v=DAbLNzr4cC8,"After an eventful winter break, Kyoutarou Ichikawa and Anna Yamada reunite with a stronger bond. They continue to grow in their own ways, with Yamada taking on more challenging photoshoots and Ichikawa maturing both physically and emotionally as he tackles his affections for Yamada. However, spending time together outside of school allows for their relationship to deepen, and it becomes increasingly difficult to deny their budding romantic feelings.

Grappling with these unexpected and new emotions, Ichikawa and Yamada realize that, with the passage of time, their relationship is bound to change—and they must ultimately decide whether they wish to remain close friends or finally become a couple."
52198,Kaguya-sama: Love is War -The First Kiss That Never Ends-,"Comedy, Drama, Romance",Movie,1.0,Finished Airing,2022-12-17T00:00:00+00:00,,1 hr 36 min,8.74,185050.0,48.0,PG-13 - Teens 13 or older,A-1 Pictures,"Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",https://cdn.myanimelist.net/images/anime/1670/130060l.jpg,https://www.youtube.com/watch?v=8Zy8-00-Pls,"After their first kiss, Kaguya Shinomiya and Miyuki Shirogane are left unsure where their relationship stands. The troubling uncertainty of whether they could be considered an official couple unleashes newfound problems as both Kaguya and Shirogane struggle to sort out their feelings.

While the lovestruck student council officers fret, the Christmas season rolls around, and romance is in the air. In the face of widespread tenderness, Kaguya and Shirogane must endure their affectionate battle of wits once more. Should they reconcile their feelings for one another, they may find themselves within reach of what they have both been longing for so long: true love."
50160,Kingdom: Season 4,Action,TV,26.0,Finished Airing,2022-04-10T00:00:00+00:00,2022-10-02T00:00:00+00:00,24 min per ep,8.73,34412.0,49.0,R - 17+ (violence & profanity),"Pierrot, Studio Signpost","Avex Pictures, Shueisha, NHK Enterprises",https://cdn.myanimelist.net/images/anime/1566/122794l.jpg,https://www.youtube.com/watch?v=qv8eDYnEIQ4,"Following the conclusion of the large-scale coalition campaign, the entirety of China is in a state of economic recovery. The victor of the battle, the state of Qin, is no different. There, the political parties led by Ying Zheng and Buwei Lü continue their inner conflict. Having played the role of king in the coalition battle, Zheng has the trust of the people—but Lü is far from out of the fight. In 18 months, he plans to interrupt Zheng's coming-of-age ceremony.

Meanwhile, a Zhao army numbering 20,000 troops has set out toward Qin. In the royal court, due to the lack of generals capable of responding to the incoming threat, Lü slyly suggests that Zheng take command. However, Cheng Jiao, Zheng's half-brother, volunteers instead. As they grew to trust each other during the coalition battle, Zheng now accepts Jiao as his replacement.

However, the Zhao forces retreat a mere half-day after clashing with Jiao's army. With trouble quickly brewing in the shadows, the internal struggle of Qin is only complicated further. There are only two men Zheng feels he can rely on: Bi, a general who commands 30,000 men; and Xin, the leader of the Fei Xin force."
21,One Piece,"Action, Adventure, Fantasy",TV,,Currently Airing,1999-10-20T00:00:00+00:00,,24 min,8.73,1444393.0,50.0,PG-13 - Teens 13 or older,Toei Animation,"Fuji TV, TAP, Shueisha",https://cdn.myanimelist.net/images/anime/1244/138851l.jpg,https://www.youtube.com/watch?v=-tviZNY6CSw,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it.

The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.

As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure."
58567,Solo Leveling Season 2: Arise from the Shadow,"Action, Adventure, Fantasy",TV,13.0,Finished Airing,2025-01-05T00:00:00+00:00,2025-03-30T00:00:00+00:00,23 min per ep,8.72,360630.0,54.0,R - 17+ (violence & profanity),A-1 Pictures,"Aniplex, Crunchyroll, Sonilude, Netmarble, Kakao piccoma, D&C Media",https://cdn.myanimelist.net/images/anime/1448/147351l.jpg,https://www.youtube.com/watch?v=GDMXGzjJzS4,"Sung Jin-Woo, dubbed the weakest hunter of all mankind, grows stronger by the day with the supernatural powers he has gained. However, keeping his skills hidden becomes more difficult as dungeon-related incidents pile up around him.

When Jin-Woo and a few other low-ranked hunters are the only survivors of a dungeon that turns out to be a bigger challenge than initially expected, he draws attention once again, and hunter guilds take an increased interest in him. Meanwhile, a strange hunter who has been lost for ten years returns with a dire warning about an upcoming catastrophic event. As the calamity looms closer, Jin-Woo must continue leveling up to make sure nothing stops him from reaching his ultimate goal—saving the life of his mother."
55016,Idol,,Music,1.0,Finished Airing,2023-04-12T00:00:00+00:00,,3 min,8.72,18645.0,,PG-13 - Teens 13 or older,Doga Kobo,,https://cdn.myanimelist.net/images/anime/1921/135489l.jpg,,Music video for
53223,Kingdom: Season 5,Action,TV,13.0,Finished Airing,2024-01-14T00:00:00+00:00,2024-03-31T00:00:00+00:00,24 min per ep,8.72,21744.0,52.0,R - 17+ (violence & profanity),"Pierrot, Studio Signpost","Avex Pictures, Shueisha, Jinnan Studio, NHK Enterprises",https://cdn.myanimelist.net/images/anime/1050/139641l.jpg,https://www.youtube.com/watch?v=jYztdVfUZX8,
24701,Mushi-shi: Next Passage Part 2,"Adventure, Mystery, Slice of Life, Supernatural",TV,10.0,Finished Airing,2014-10-19T00:00:00+00:00,2014-12-21T00:00:00+00:00,23 min per ep,8.72,112843.0,53.0,PG-13 - Teens 13 or older,Artland,"Aniplex, Kodansha, Delfi Sound",https://cdn.myanimelist.net/images/anime/9/68095l.jpg,https://www.youtube.com/watch?v=zuX3P6ynAgc,"Ghostly, primordial beings known as Mushi continue to cause mysterious changes in the lives of humans. The travelling Mushishi, Ginko, persists in trying to set right the strange and unsettling situations he encounters. Time loops, living shadows, and telepathy are among the overt effects of interference from Mushi, but more subtle symptoms that take years to be noticed also rouse Ginko's concern as he passes from village to village.

Through circumstance, Ginko has become an arbiter, determining which Mushi are blessings and which are curses. But the lines that he seeks to draw are subjective. Some of his patients would rather exercise their new powers until they are utterly consumed by them; others desperately strive to rid themselves of afflictions which are in fact protecting their lives from devastation. Those who cross paths with Mushi must learn to accept seemingly impossible consequences for their actions, and heal wounds they did not know they had. Otherwise, they risk meeting with fates beyond their comprehension."
45649,The First Slam Dunk,"Award Winning, Sports",Movie,1.0,Finished Airing,2022-12-03T00:00:00+00:00,,2 hr 4 min,8.72,29928.0,56.0,PG-13 - Teens 13 or older,"Toei Animation, DandeLion Animation Studio",Shueisha,https://cdn.myanimelist.net/images/anime/1745/129284l.jpg,https://www.youtube.com/watch?v=9o7-Cgetho4,"Shohoku's ""speedster"" and point guard, Ryouta Miyagi, always plays with brains and lightning speed, running circles around his opponents while feigning composure. Born and raised in Okinawa, Ryouta had a brother who was three years older. Following in the footsteps of his older brother, who was a famous local player from a young age, Ryouta also became addicted to basketball.

In his second year of high school, Ryouta plays with the Shohoku High School basketball team along with Sakuragi, Rukawa, Akagi, and Mitsui as they take the stage at the Inter-High School National Championship. And now, they are on the brink of challenging the reigning champions, Sannoh Kogyo High School"
44074,Link Click,"Drama, Mystery, Suspense",ONA,11.0,Finished Airing,2021-04-30T00:00:00+00:00,2021-07-09T00:00:00+00:00,23 min per ep,8.72,170545.0,55.0,PG-13 - Teens 13 or older,LAN Studio,"bilibili, BeDream",https://cdn.myanimelist.net/images/anime/1135/114867l.jpg,https://www.youtube.com/watch?v=9NngogacysA,"It is said that a picture is worth a thousand words. In this case, it holds an infinite amount of secrets. These are secrets that only Cheng Xiaoshi and Lu Guang are able to find. In a small shop called ""Time Photo Studio,"" the two friends provide a special service: using their extraordinary powers that let them enter photographs, they jump into pictures brought to them by clients in order to grant their wishes. Through the eyes of the photographer, they live through the events surrounding the picture and try to decipher how to solve their client's request.

But every time they jump into a picture, they take a great risk. One wrong move and they could alter the future of the person who took the picture... and possibly countless other events too. So when the events they are forced to live through in these pictures start to become personal, it will take the utmost strength to push their feelings aside and focus on accomplishing the task they were paid to do."
48569,86 Eighty-Six Part 2,"Action, Drama, Sci-Fi",TV,12.0,Finished Airing,2021-10-03T00:00:00+00:00,2022-03-19T00:00:00+00:00,23 min per ep,8.72,336656.0,57.0,R - 17+ (violence & profanity),A-1 Pictures,"Aniplex, Kadokawa, Bandai Spirits",https://cdn.myanimelist.net/images/anime/1321/117508l.jpg,https://www.youtube.com/watch?v=Oo8ICn48l6E,"The disappearance of the Spearhead Squadron beyond the horizon does little to hide the intensity of the Republic of San Magnolia's endless propaganda. Vladilena Milizé continues to operate as ""Handler One,"" the commander of yet another dehumanized 86th faction's squadron in the continuous war against the Legion.

On the Western Front, Shinei Nouzen and his squad are quarantined in a military base controlled by the Federal Republic of Giad, formerly known as the Giadian Empire. The newly-established government grants the saved Eighty-Six full citizenship and freedom. Housed by the president Ernst Zimmerman himself, the group meets his adoptive daughter and the last Empress, Augusta Frederica Adel-Adler.

However, within the calm of this tender society, Shinei and his team feel that their purpose is on the battlefield. Before long, they are once again in the midst of the Legion's onslaught as a part of the Federacy's Nordlicht Squadron, accompanied by Augusta Frederica. But, as history repeats itself, they realize that no matter the side, death and pain on the front lines are the only comfort they know."
47778,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,"Action, Supernatural",TV,11.0,Finished Airing,2021-12-05T00:00:00+00:00,2022-02-13T00:00:00+00:00,26 min per ep,8.72,1025751.0,51.0,R - 17+ (violence & profanity),ufotable,"Aniplex, Studio Mausu, Shueisha",https://cdn.myanimelist.net/images/anime/1908/120036l.jpg,https://www.youtube.com/watch?v=QwvWdnd2Ktg,"The devastation of the Mugen Train incident still weighs heavily on the members of the Demon Slayer Corps. Despite being given time to recover, life must go on, as the wicked never sleep: a vicious demon is terrorizing the alluring women of the Yoshiwara Entertainment District. The Sound Hashira, Tengen Uzui, and his three wives are on the case. However, when he soon loses contact with his spouses, Tengen fears the worst and enlists the help of Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira to infiltrate the district's most prominent houses and locate the depraved Upper Rank Demon."
52215,Orb: On the Movements of the Earth,Drama,TV,25.0,Finished Airing,2024-10-05T00:00:00+00:00,2025-03-15T00:00:00+00:00,25 min per ep,8.71,75992.0,58.0,R - 17+ (violence & profanity),Madhouse,"Shogakukan-Shueisha Productions, Shogakukan, NHK Enterprises, SKY Perfect Pictures",https://cdn.myanimelist.net/images/anime/1749/145922l.jpg,https://www.youtube.com/watch?v=Aju1yusWVKo,"Twelve-year-old prodigy Rafal believes in living rationally, so as to earn praise and respect from society while not being led astray by his emotions. To this end, he publicly states his intention to study theology—the academic field held in highest regard in early 15th century Poland. However, an encounter with a mysterious man upends Rafal's life, sparking an illogical desire to instead pursue his passion for astronomy.

Rafal is determined to prove the beauty and rationality of heliocentrism—the theory that the Earth revolves around the Sun. This belief is considered heretical by the powerful Church, which promotes geocentrism—the Sun revolving around the Earth—as the sole truth of the universe. Those whose beliefs do not align with the will of the Church suffer unfathomably gruesome consequences.

In pursuit of evidence for a heliocentric model of the universe, Rafal grapples with obtaining precise calculations and building empirical theories. His greatest challenge, however, lies in conducting this research discreetly—lest he wish to meet the same fate as other heretics."
39894,Sound! Euphonium 3,Drama,TV,13.0,Finished Airing,2024-04-07T00:00:00+00:00,2024-06-30T00:00:00+00:00,24 min per ep,8.71,32729.0,59.0,PG-13 - Teens 13 or older,Kyoto Animation,"Lantis, Pony Canyon, Rakuonsha, ABC Animation, Heart Company, Bandai Namco Music Live",https://cdn.myanimelist.net/images/anime/1216/142086l.jpg,https://www.youtube.com/watch?v=m6HBe_ewMbc,"With the ensemble contest behind them, the members of the Kitauji High School concert band now aim to win a gold medal at the national competition. For third-year club president Kumiko Oumae and her friends, it is their last chance before graduation. Filled with anticipation and anxiety, Kumiko worries if she can successfully lead the band.

Amid her struggles, Kumiko encounters transfer student Mayu Kuroe. From her gentle demeanor to her talented euphonium skills, Mayu was a member of the Seira Girls' School concert band—a regular at nationals. While Mayu is friendly, Kumiko cannot help but have an indescribable feeling from their meeting.

As new members arrive and plans are set in motion, the club, with an insatiable hunger for a gold medal, learns what it truly takes to propel themselves to reach the national level."
50172,Mob Psycho 100 III,"Action, Comedy, Supernatural",TV,12.0,Finished Airing,2022-10-06T00:00:00+00:00,2022-12-22T00:00:00+00:00,23 min per ep,8.71,397625.0,60.0,PG-13 - Teens 13 or older,Bones,"Shogakukan-Shueisha Productions, Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",https://cdn.myanimelist.net/images/anime/1228/125011l.jpg,https://www.youtube.com/watch?v=b1miJsAVYJA,"After foiling a world-threatening plot, Shigeo ""Mob"" Kageyama returns to tackle the more exhausting aspects of his mundane life—starting with filling out his school's nerve-racking career form. Meanwhile, he continues to assist his mentor Arataka Reigen and the office's new recruit, Katsuya Serizawa, in solving paranormal cases of their clients. While continuing his duties, Mob also works on gaining more independence in his esper and human lives, as well as trying to integrate better with the people around him.

However, new supernatural and ordinary challenges test Mob’s emotional stability and force him to confront the realities around him. As he strives to continue forward on the path to maturity, Mob must resolve his emotional crises and reassess the naivety he has held on for so long."
